strategy,definition,horizonDays,mode,trainTrades,testTrades,allTrades,trainAvgPct,testAvgPct,allAvgPct,generalizationGap,trainPF,testPF,testWinRatePct,testMedianPct,testExcessPct,testMfePct,testMaePct,testHitPlus3Pct,testHitPlus5Pct,testHitMinus3Pct,testHitMinus5Pct,testMddPct,overfitWarning,axis,baselineTestAvgPct,verdict
Leader_A + Risk_0~24,"leaderGrade in [A] AND scoutRiskScore between [0,24]",5,cooldown,77,58,135,1.16,7.85,4.04,-6.69,1.34,3.98,75.86,4.92,1.56,14.91,-5.73,86.21,68.97,56.9,37.93,-36.45,false,leaderGrade×risk,2.56,유망
Leader_A + Risk_0~24,"leaderGrade in [A] AND scoutRiskScore between [0,24]",10,cooldown,46,36,82,3.67,12.15,7.39,-8.48,2.13,5.11,66.67,6.51,0.24,22.72,-6.8,86.11,77.78,63.89,44.44,-32.59,false,leaderGrade×risk,5.57,유망
Leader_A + Risk_25~39,"leaderGrade in [A] AND scoutRiskScore between [25,39]",5,cooldown,15,70,85,2.1,4.5,4.08,-2.4,1.56,1.92,55.71,2.88,1.82,15.95,-9.95,87.14,75.71,75.71,62.86,-75.39,false,leaderGrade×risk,2.56,유망
Leader_A + Risk_25~39,"leaderGrade in [A] AND scoutRiskScore between [25,39]",10,cooldown,11,44,55,5.47,6.11,5.99,-0.64,1.99,2.15,59.09,4.19,2.31,24.51,-10.96,93.18,81.82,75,68.18,-67.68,false,leaderGrade×risk,5.57,유망
Leader_A + Risk_40~50,"leaderGrade in [A] AND scoutRiskScore between [40,50]",5,cooldown,0,6,6,,-1.58,-1.58,,,0.71,33.33,-5.86,2.87,11.01,-11.2,83.33,66.67,83.33,66.67,-20.21,false,leaderGrade×risk,2.56,표본부족
Leader_A + Risk_40~50,"leaderGrade in [A] AND scoutRiskScore between [40,50]",10,cooldown,0,6,6,,6.37,6.37,,,1.72,50,1.87,5.49,22.63,-15.1,83.33,83.33,83.33,66.67,-27.67,false,leaderGrade×risk,5.57,표본부족
Leader_A + Risk_51~64,"leaderGrade in [A] AND scoutRiskScore between [51,64]",5,cooldown,0,1,1,,-11.5,-11.5,,,0,0,-11.5,0.37,10.48,-12.54,100,100,100,100,-11.5,false,leaderGrade×risk,2.56,표본부족
Leader_A + Risk_51~64,"leaderGrade in [A] AND scoutRiskScore between [51,64]",10,cooldown,0,1,1,,11.91,11.91,,,,100,11.91,9.55,14.6,-14.68,100,100,100,100,0,false,leaderGrade×risk,5.57,표본부족
Leader_A + Risk_65+,"leaderGrade in [A] AND scoutRiskScore between [65,100]",5,cooldown,0,0,0,,,,,,,,,,,,,,,,0,false,leaderGrade×risk,2.56,표본부족
Leader_A + Risk_65+,"leaderGrade in [A] AND scoutRiskScore between [65,100]",10,cooldown,0,0,0,,,,,,,,,,,,,,,,0,false,leaderGrade×risk,5.57,표본부족
Leader_AB + Risk_0~24,"leaderGrade in [A,B] AND scoutRiskScore between [0,24]",5,cooldown,130,84,214,1.1,6.97,3.4,-5.87,1.41,4.24,65.48,4,0.8,13.8,-4.89,80.95,69.05,50,36.9,-40.64,false,leaderGrade×risk,2.56,유망
Leader_AB + Risk_0~24,"leaderGrade in [A,B] AND scoutRiskScore between [0,24]",10,cooldown,80,54,134,3.19,11.6,6.58,-8.41,1.86,4.79,72.22,8.5,-1.02,21.49,-7.14,87.04,79.63,62.96,51.85,-42.3,false,leaderGrade×risk,5.57,유망
Leader_AB + Risk_25~39,"leaderGrade in [A,B] AND scoutRiskScore between [25,39]",5,cooldown,37,130,167,1.14,3.03,2.61,-1.89,1.33,1.71,54.62,1.4,0.47,12.98,-9.16,79.23,62.31,74.62,60,-83.12,false,leaderGrade×risk,2.56,유망
Leader_AB + Risk_25~39,"leaderGrade in [A,B] AND scoutRiskScore between [25,39]",10,cooldown,28,78,106,3.75,5.86,5.3,-2.11,1.93,2.01,62.82,2.91,0.75,20.74,-11.29,87.18,75.64,75.64,65.38,-87.94,false,leaderGrade×risk,5.57,유망
Leader_AB + Risk_40~50,"leaderGrade in [A,B] AND scoutRiskScore between [40,50]",5,cooldown,7,41,48,11.43,2.65,3.93,8.78,28.17,1.77,53.66,1.59,0.67,11.63,-8.04,80.49,65.85,65.85,56.1,-48.35,false,leaderGrade×risk,2.56,유망
Leader_AB + Risk_40~50,"leaderGrade in [A,B] AND scoutRiskScore between [40,50]",10,cooldown,5,31,36,11.02,9.47,9.69,1.55,6.48,4.14,61.29,1.28,3.49,19.29,-9.82,90.32,83.87,70.97,67.74,-23.73,false,leaderGrade×risk,5.57,유망
Leader_AB + Risk_51~64,"leaderGrade in [A,B] AND scoutRiskScore between [51,64]",5,cooldown,0,7,7,,-7.3,-7.3,,,0.09,28.57,-9.68,-6.47,6.99,-13.1,71.43,57.14,100,100,-42.22,false,leaderGrade×risk,2.56,표본부족
Leader_AB + Risk_51~64,"leaderGrade in [A,B] AND scoutRiskScore between [51,64]",10,cooldown,0,6,6,,-10.35,-10.35,,,0.16,16.67,-13.85,-4.86,7.51,-21.01,66.67,50,100,100,-50.53,false,leaderGrade×risk,5.57,표본부족
Leader_AB + Risk_65+,"leaderGrade in [A,B] AND scoutRiskScore between [65,100]",5,cooldown,0,0,0,,,,,,,,,,,,,,,,0,false,leaderGrade×risk,2.56,표본부족
Leader_AB + Risk_65+,"leaderGrade in [A,B] AND scoutRiskScore between [65,100]",10,cooldown,0,0,0,,,,,,,,,,,,,,,,0,false,leaderGrade×risk,5.57,표본부족
