strategy,definition,horizonDays,mode,trainTrades,testTrades,allTrades,trainAvgPct,testAvgPct,allAvgPct,generalizationGap,trainPF,testPF,testWinRatePct,testMedianPct,testExcessPct,testMfePct,testMaePct,testHitPlus3Pct,testHitPlus5Pct,testHitMinus3Pct,testHitMinus5Pct,testMddPct,overfitWarning,baselineTestAvgPct,verdict
LeaderA_Risk39_Stab65,leaderGrade in [A] AND scoutRiskScore lte 39 AND scoutStabilizeScore gte 65,1,cooldown,5690,4550,10240,0.27,0.11,0.2,0.16,1.15,1.04,45.21,-0.57,0.27,6.17,-5.4,57.98,42.59,62.48,42.35,-100,false,0,유망
LeaderA_Risk39_Stab65,leaderGrade in [A] AND scoutRiskScore lte 39 AND scoutStabilizeScore gte 65,3,cooldown,3100,2516,5616,0.89,0.94,0.91,-0.05,1.36,1.25,47.54,-0.43,0.56,9.63,-7.44,69.71,57.19,73.93,57.15,-100,false,0.66,유망
LeaderA_Risk39_Stab65,leaderGrade in [A] AND scoutRiskScore lte 39 AND scoutStabilizeScore gte 65,5,cooldown,2212,1786,3998,1.52,2.01,1.74,-0.49,1.52,1.46,49.38,-0.23,0.87,12.7,-8.84,75.48,64.22,78.72,62.49,-100,false,1.33,유망
LeaderA_Risk39_Stab65,leaderGrade in [A] AND scoutRiskScore lte 39 AND scoutStabilizeScore gte 65,10,cooldown,1370,1121,2491,3.02,4.02,3.47,-1,1.84,1.75,49.87,-0.09,1.61,18.43,-11.24,82.43,72.61,82.07,70.56,-100,false,2.7,유망
LeaderA_Risk39_Stab65,leaderGrade in [A] AND scoutRiskScore lte 39 AND scoutStabilizeScore gte 65,20,cooldown,847,667,1514,5.67,8.86,7.07,-3.19,2.38,2.44,53.67,2.48,2.54,29.24,-13.94,88.91,81.26,86.96,77.51,-100,false,5.24,유망
LeaderA_Risk39_Stab65,leaderGrade in [A] AND scoutRiskScore lte 39 AND scoutStabilizeScore gte 65,60,cooldown,433,283,716,19.8,24.46,21.64,-4.66,5.76,3.22,57.6,9.88,3.79,66.07,-20.89,95.76,91.52,90.11,81.27,-100,false,39.14,역효과
F2_LIQ60_MTT,F2 AND liquidityScore gte 60 AND minerviniPass,1,cooldown,13,23,36,0.68,0.97,0.87,-0.29,1.37,1.33,52.17,0.13,-0.71,7.08,-6.09,65.22,56.52,78.26,52.17,-28.63,false,0,표본부족
F2_LIQ60_MTT,F2 AND liquidityScore gte 60 AND minerviniPass,3,cooldown,13,23,36,0.54,4.54,3.1,-4,1.19,2.27,52.17,0.31,0.99,13,-7.57,73.91,69.57,78.26,56.52,-23.84,false,0.66,표본부족
F2_LIQ60_MTT,F2 AND liquidityScore gte 60 AND minerviniPass,5,cooldown,13,23,36,6.59,3.89,4.87,2.7,3.09,1.8,47.83,-1.09,0.76,15.48,-9.58,73.91,69.57,82.61,65.22,-44.83,false,1.33,표본부족
F2_LIQ60_MTT,F2 AND liquidityScore gte 60 AND minerviniPass,10,cooldown,13,23,36,2.79,1.24,1.8,1.55,1.59,1.16,43.48,-3.15,-1.91,19.33,-13.89,78.26,78.26,91.3,78.26,-74,false,2.7,표본부족
F2_LIQ60_MTT,F2 AND liquidityScore gte 60 AND minerviniPass,20,cooldown,13,22,35,6.35,6.36,6.35,-0.01,2.38,1.75,45.45,-1.41,-0.91,29.07,-15.73,81.82,81.82,95.45,81.82,-71.42,false,5.24,표본부족
F2_LIQ60_MTT,F2 AND liquidityScore gte 60 AND minerviniPass,60,cooldown,13,19,32,22.74,26.94,25.23,-4.2,6.15,3.53,63.16,32.84,1.14,71.5,-24.57,94.74,94.74,94.74,84.21,-86.43,false,39.14,표본부족
LeaderTop_or_RS90,"(leaderRank between [1,5] OR rs20 gte 90)",1,cooldown,3676,2357,6033,0.26,0.16,0.22,0.1,1.12,1.05,47.01,-0.55,0.2,7.11,-6.21,64.19,48.03,68.01,48.32,-100,false,0,유망
LeaderTop_or_RS90,"(leaderRank between [1,5] OR rs20 gte 90)",3,cooldown,2127,1348,3475,0.76,1.08,0.88,-0.32,1.26,1.26,49.11,-0.23,0.51,10.75,-8.59,76.04,61.42,79.38,63.06,-100,false,0.66,유망
LeaderTop_or_RS90,"(leaderRank between [1,5] OR rs20 gte 90)",5,cooldown,1597,984,2581,1.43,2.23,1.73,-0.8,1.42,1.47,48.68,-0.43,1.16,14.31,-9.86,79.78,67.48,81.81,66.87,-100,false,1.33,유망
LeaderTop_or_RS90,"(leaderRank between [1,5] OR rs20 gte 90)",10,cooldown,1059,624,1683,2.54,4.49,3.26,-1.95,1.58,1.75,50.64,0.15,2.14,20.74,-12.89,86.06,78.85,87.5,77.24,-100,false,2.7,유망
LeaderTop_or_RS90,"(leaderRank between [1,5] OR rs20 gte 90)",20,cooldown,712,384,1096,5.29,9.26,6.68,-3.97,2.07,2.23,49.48,-0.1,4.39,31.82,-16.23,89.84,84.11,89.06,81.25,-100,false,5.24,유망
LeaderTop_or_RS90,"(leaderRank between [1,5] OR rs20 gte 90)",60,cooldown,469,176,645,16.16,34.18,21.08,-18.02,3.56,4.61,59.66,11.92,7.21,83.78,-19.65,97.16,95.45,86.93,80.11,-99.99,false,39.14,역효과
