strategy,n,avgPct,medianPct,winPct,pf,mfePct,maePct,excessPct,foldsPositive,foldsTotal,worstFoldExcessPct,top5SharePct,excludeTop5MeanPct,potentiallyRobust,verdict
대조군(전체),3389,2.72,0.37,51.25,1.58,15.56,-10.05,0.01,0,3,-0.01,14.66,2.38,false,Fragile
Leader A,1197,3.85,-0.39,49.21,1.73,18.07,-11.31,1.35,2,3,-0.06,25.79,2.99,false,Fragile
Leader TOP3,223,6.95,1.55,53.81,2.02,24.99,-14.48,4.53,3,3,0.67,53.99,3.65,true,Robust candidate
Leader TOP10,598,4.75,0.2,50.67,1.81,21.08,-12.71,2.55,3,3,0.74,37.21,3.22,true,Robust candidate
RS80+,1086,3.6,0.21,50.37,1.65,18.52,-11.76,1.51,3,3,0.5,29.42,2.67,false,Promising
RS90+,574,4.31,0.34,51.22,1.7,20.66,-13.03,2.29,2,3,-0.15,45.6,2.49,false,Fragile
Leader A + RS80,769,4.63,-0.05,49.8,1.84,20.05,-12.06,2.32,2,3,-0.06,30.41,3.42,false,Fragile
Leader A + RS90,467,5.09,0.85,51.82,1.82,22.19,-13.1,2.95,2,3,-0.4,46.89,2.9,false,Fragile
Leader A + Risk<=24,658,4.37,0.17,50.61,2.08,15.97,-8.86,0.8,1,3,-0.64,23.46,3.53,true,Promising
Leader A + Stab>=80,1083,4.2,0.14,50.05,1.78,18.91,-11.32,1.63,2,3,-0.08,26.1,3.28,false,Fragile
Leader A + Risk<=24 + Stab>=80,592,4.6,0.51,51.86,2.15,16.36,-8.88,0.93,1,3,-0.87,24.89,3.62,true,Promising
종합타이밍 TOP10,1140,2.57,-0.63,48.86,1.48,16.08,-10.56,-0.11,1,3,-0.29,25.36,1.98,false,Negative
RankingV2 TOP10,790,1.64,-0.37,48.1,1.36,13.78,-9.79,-0.38,1,3,-0.34,42.02,0.99,false,Negative
Scout TOP10,464,1.09,-0.59,48.71,1.26,11.8,-8.76,-0.77,1,3,-0.79,70.74,0.34,false,Negative
낙폭 <-60,131,7.26,2.85,54.96,2.38,22.52,-13.64,3.68,2,3,-1.05,34.11,5.01,false,Fragile
낙폭 <-60 + Leader A/B,2,-9.21,-9.21,0,0,6.02,-12.35,-8.04,1,1,6.65,100,,false,Insufficient
