code,name,market,signalDate,drawdownPct,leaderScore,leaderGrade,rs20,risk,stabilize,liquidityScore,entryPrice,r3,r5,r10,r20,mfe,mae,excessPct,scoutStatus,reboundState,rankingTier,signalsForThisCodeInBucket
065350,신성델타테크,KOSDAQ,20251031,-63.07,2.5,D,14,45,53,0,,4.125716878402904,-0.4114882032667886,-1.6819056261342977,3.39976406533575,7.803992740471877,-3.992740471869327,-2.61,하락 정지 확인,stopped,2,14
086520,에코프로,KOSDAQ,20251031,-61.96,90.4,A,96,25,100,14,,1.739365426695835,-4.059321663019691,-3.7310940919037225,1.5205470459518557,12.035010940919033,-9.29978118161926,-4.66,1차 매수 검토,ready,3,2
420770,기가비스,KOSDAQ,20251031,-62.76,65.3,C,5,45,64,0,,-0.08590778097983567,-2.1031988472622474,-7.72279538904899,1.499106628242083,6.628242074927959,-8.933717579250722,-8.66,하락 정지 확인,stopped,2,4
028300,HLB,KOSDAQ,20251103,-60.97,23.8,D,67,30,94,2,,-14.925340501792121,-12.595591397849462,-14.925340501792121,-9.369784946236562,5.197132616487465,-15.77060931899642,-11.65,1차 매수 검토,ready,3,8
065350,신성델타테크,KOSDAQ,20251117,-63.41,4.8,D,38,45,51,0,,-1.1525092250922495,-0.41450184501844767,6.596568265682664,9.179594095940953,9.040590405904059,-7.380073800738007,0.41,하락 정지 확인,stopped,2,14
420770,기가비스,KOSDAQ,20251117,-60.37,63.1,C,24,45,31,8,,-4.248547140649154,4.715904173106652,7.961653786707874,-3.6303091190108137,11.128284389489963,-5.564142194744981,1.78,정찰병 1주,falling,2,4
028300,HLB,KOSDAQ,20251118,-60.6,33.5,D,59,30,75,0,,-6.592672322375396,-1.2904453870625696,2.8452916224814353,-1.7146235418875975,7.9533404029692445,-6.468716861081658,-6.01,1차 매수 검토,ready,3,8
065350,신성델타테크,KOSDAQ,20251202,-60.98,18.7,D,62,30,63,10,,21.725403087478565,8.860909090909082,-0.23,-0.23,33.27615780445969,-0.5145797598627766,-0.89,하락 정지 확인,stopped,2,14
028300,HLB,KOSDAQ,20251204,-60.02,41.1,D,34,45,66,0,,0.9051909184726505,-0.9523942208462342,-4.564365325077395,11.844303405572761,3.0959752321981338,-6.398348813209498,-6.49,하락 정지 확인,stopped,2,8
420770,기가비스,KOSDAQ,20251215,-61.05,44.2,D,40,45,47,0,,-5.418679245283023,-3.0601886792452824,-0.5444654088050314,44.42408805031446,1.2578616352201255,-6.2893081761006275,-8.27,하락 정지 확인,stopped,6,4
065350,신성델타테크,KOSDAQ,20251217,-60.71,28.2,D,71,30,74,8,,4.3963345195729495,1.9052313167259718,2.4390391459074814,5.286014234875443,8.007117437722421,-1.245551601423489,-11.54,1차 매수 검토,ready,3,14
028300,HLB,KOSDAQ,20251219,-61.63,38.4,D,35,45,48,0,,-1.4102575107296098,8.782875536480692,9.2120600858369,13.933090128755362,20.171673819742498,-1.5021459227467782,1.21,하락 정지 확인,stopped,2,8
078600,대주전자재료,KOSDAQ,20251230,-60.31,8.2,D,4,60,9,2,,-5.2614465408805025,-6.047610062893087,-6.833773584905659,18.952389937106926,0.15723270440251014,-7.389937106918243,-13.3,정찰병 1주,falling,4,3
420770,기가비스,KOSDAQ,20260102,-60.86,33.6,D,13,45,64,25,,2.552071097372496,4.252225656877902,59.584528593508516,57.729814528593515,66.61514683153014,-2.6275115919629055,55.68,하락 정지 확인,stopped,2,4
065350,신성델타테크,KOSDAQ,20260106,-61.12,29.1,D,28,45,54,0,,-6.285363321799313,1.327093425605527,-0.922041522491349,28.31671280276817,7.093425605536341,-7.958477508650519,-3.68,하락 정지 확인,stopped,2,14
078600,대주전자재료,KOSDAQ,20260116,-62.87,1.1,D,3,45,28,6,,14.079764309764316,27.884478114478114,27.211077441077443,59.19760942760943,38.04713804713804,-0.6734006734006703,2.74,정찰병 1주,early,2,3
065350,신성델타테크,KOSDAQ,20260121,-61.32,25,D,39,45,80,4,,16.725017301038054,34.545086505190326,19.6661937716263,26.759619377162622,43.59861591695502,0,-4.9,하락 정지 확인,stopped,2,14
028300,HLB,KOSDAQ,20260304,-62.17,36.9,D,17,55,43,7,,2.522293577981657,-0.3319367991845099,5.172650356778804,3.9494087665647295,7.441386340468914,-2.956167176350666,-8.08,정찰병 1주,early,6,8
065350,신성델타테크,KOSDAQ,20260304,-62.33,36.1,D,20,55,47,8,,6.403499170812595,6.071824212271967,5.242636815920406,-11.009436152570476,19.402985074626855,-4.643449419568824,-8.01,정찰병 1주,early,6,14
065350,신성델타테크,KOSDAQ,20260325,-60.31,35,D,7,45,40,3,,-5.756770293609673,-7.138462867012089,-5.238635578583764,3.569654576856648,1.5544041450777257,-8.635578583765113,0.29,정찰병 1주,early,2,14
214450,파마리서치,KOSDAQ,20260407,-60.27,4.1,D,39,30,32,0,,0.4502721088435382,1.3006122448979665,3.0012925170068008,15.756394557823135,9.353741496598644,-2.2108843537414935,-9.45,관찰 목록,falling,3,3
065350,신성델타테크,KOSDAQ,20260409,-62.94,16.3,D,26,45,46,0,,7.407655417406752,6.697175843694488,6.164316163410307,-9.64385435168739,14.03197158081706,-3.019538188277082,-7.99,하락 정지 확인,stopped,2,14
000250,삼천당제약,KOSDAQ,20260422,-65.96,52.5,C,0,55,25,33,,11.253870967741927,6.9958064516129035,5.447419354838719,-6.681612903225812,18.58064516129032,-4.9032258064516165,0.5,정찰병 1주,falling,6,6
000250,삼천당제약,KOSDAQ,20260511,-65.41,30.2,D,1,55,40,1,,-6.39686819830713,-11.838222490931075,-15.223954050785974,-36.626614268440136,8.343409915356714,-20.193470374848854,-12.42,정찰병 1주,early,4,6
065350,신성델타테크,KOSDAQ,20260518,-61.87,2.3,D,8,45,42,3,,6.509130434782603,0.31347826086955655,-4.903913043478262,-12.512608695652176,12.173913043478258,-8.695652173913048,-3.73,정찰병 1주,early,2,14
028300,HLB,KOSDAQ,20260520,-60.6,30.5,D,12,45,25,0,,5.909438085327775,5.493204994797082,0.290291363163361,5.493204994797082,17.377731529656604,-2.809573361082207,13.37,정찰병 1주,falling,2,8
000250,삼천당제약,KOSDAQ,20260527,-70.31,30.9,D,30,45,41,2,,-14.556241134751772,-17.393120567375888,-26.045602836879436,-40.51368794326241,8.226950354609919,-35.035460992907794,-22.06,정찰병 1주,early,2,6
293490,카카오게임즈,KOSDAQ,20260528,-60,2.8,D,20,60,1,0,,3.497369542066028,-6.087294994675188,-2.9989030883919052,-17.375899893503725,5.111821086261981,-12.566560170394037,-0.33,정찰병 1주,falling,4,4
140410,메지온,KOSDAQ,20260529,-62.07,10.2,D,8,45,30,7,,-4.831226993865027,-5.137975460122705,-1.9171165644171793,-7.131840490797551,4.294478527607359,-12.269938650306745,-1.58,정찰병 1주,falling,2,4
065350,신성델타테크,KOSDAQ,20260604,-63.97,3.8,D,17,45,40,10,,-11.059493087557607,-5.41433179723502,-8.755345622119819,-32.02723502304147,1.1520737327188835,-13.940092165898621,-4.18,정찰병 1주,early,2,14
214450,파마리서치,KOSDAQ,20260608,-63.57,10.2,D,50,30,45,1,,10.923846153846158,13.231538461538458,7.462307692307687,30.731538461538463,19.42307692307692,-0.9615384615384581,8.59,하락 정지 확인,stopped,6,3
298380,에이비엘바이오,KOSDAQ,20260608,-63.91,2.7,D,26,45,40,15,,2.824298642533926,11.421583710407242,3.9555203619909576,5.991719457013574,29.52488687782806,-3.167420814479638,5.09,정찰병 1주,early,6,4
475830,오름테라퓨틱,KOSDAQ,20260608,-61.8,2.7,D,13,70,25,27,,24.12897435897436,16.436666666666675,3.066703296703307,-7.189706959706958,40.842490842490854,-2.7472527472527486,4.2,추가매수 금지,risk,6,4
476830,알지노믹스,KOSDAQ,20260608,-62.8,,계산불가,1,70,15,22,,4.656363636363633,15.110909090909082,-7.048181818181824,-20.457272727272727,26.818181818181806,-6.818181818181824,-5.92,추가매수 금지,risk,6,4
000250,삼천당제약,KOSDAQ,20260612,-77.91,22,D,4,55,40,1,,1.118747591522148,-7.166416184971095,-8.322485549132944,-28.977591522158,13.294797687861282,-21.001926782273607,2.64,정찰병 1주,early,4,6
293490,카카오게임즈,KOSDAQ,20260615,-61.15,5.1,D,27,45,19,0,,-2.7742477876106206,-3.6592035398230114,-14.389292035398231,-12.508761061946908,26.65929203539823,-25,-4.98,정찰병 1주,falling,2,4
140410,메지온,KOSDAQ,20260616,-62.88,8.4,D,37,45,45,7,,-6.314243369734788,-7.406287051482056,-4.130156006240252,-14.426567862714505,4.056162246489858,-14.97659906396256,1.88,하락 정지 확인,stopped,2,4
100790,미래에셋벤처투자,KOSDAQ,20260618,-62.17,49.9,D,0,55,40,41,,-19.869278557114225,-27.684909819639284,-27.644829659318642,-46.8432264529058,0.6012024048096087,-32.46492985971944,-15.26,관찰 목록,early,6,3
065350,신성델타테크,KOSDAQ,20260619,-67.38,5.6,D,35,45,62,9,,-8.691538461538466,-13.05051282051282,-24.332564102564106,-33.17871794871795,5.641025641025643,-30.76923076923077,-13.7,하락 정지 확인,stopped,2,14
090710,휴림로봇,KOSDAQ,20260623,-60,24.6,D,33,45,42,32,,-5.457272727272725,-8.41181818181818,-26.139090909090903,-17.616363636363634,3.295454545454546,-26.81818181818182,-13.15,관찰 목록,early,6,3
214450,파마리서치,KOSDAQ,20260623,-60.62,15,D,80,30,87,13,,24.412857142857145,30.662857142857145,16.55571428571429,28.34142857142858,35.17857142857144,-1.4285714285714235,29.54,1차 매수 검토,ready,3,3
298380,에이비엘바이오,KOSDAQ,20260623,-62.48,4.9,D,40,30,66,14,,15.262957746478875,9.737497291440953,-11.93097508125677,-19.731625135427947,17.334777898158183,-13.3261105092091,1.06,관찰 목록,ready,6,4
347700,스피어,KOSDAQ,20260623,-62.58,24.2,D,1,55,40,35,,3.8088548057259666,43.17490797546013,-4.371104294478526,-3.3486094069529657,53.11860940695296,-15.644171779141104,8.62,관찰 목록,early,6,3
475830,오름테라퓨틱,KOSDAQ,20260623,-60.75,5.6,D,48,55,51,21,,13.273649635036495,5.244452554744524,-13.45992700729927,-13.186204379562042,15.693430656934314,-16.423357664233574,-0.47,관찰 목록,early,6,4
476830,알지노믹스,KOSDAQ,20260623,-65.25,,계산불가,3,85,20,17,,9.415909645909656,7.218107448107443,-22.3301221001221,-30.87713064713065,18.43711843711844,-23.56532356532357,-9.34,추가매수 금지,risk,6,4
491000,리브스메드,KOSDAQ,20260623,-60.73,,계산불가,2,70,2,16,,10.881111111111116,3.426821378340358,-3.1835864978902926,7.786877637130793,15.33052039381153,-11.251758087201125,9.81,추가매수 금지,risk,6,3
099320,쎄트렉아이,KOSDAQ,20260625,-60.33,19.3,D,4,45,40,7,,11.81819277108433,3.0230120481927716,5.9145783132530125,-9.627590361445785,14.819277108433738,-11.204819277108435,10.66,정찰병 1주,early,6,3
032820,우리기술,KOSDAQ,20260626,-61.88,35.3,D,30,55,40,34,,0.48620411817368003,4.06722470904208,-4.5272247090420805,-19.38846016114593,15.487914055505826,-12.35452103849597,2.33,관찰 목록,early,6,3
115180,큐리언트,KOSDAQ,20260626,-61.32,4.3,D,19,55,25,3,,6.335656565656574,2.0427272727272707,-9.775454545454547,-14.77545454545455,19.191919191919183,-12.62626262626263,-2.92,관찰 목록,falling,6,3
000250,삼천당제약,KOSDAQ,20260629,-79.86,17.6,D,11,55,40,14,,-9.552033898305083,-15.060508474576277,-23.95881355932204,-46.628305084745755,1.6949152542372836,-26.65254237288136,-8.7,정찰병 1주,early,6,6
293490,카카오게임즈,KOSDAQ,20260630,-66.98,5.6,D,37,70,18,5,,-3.609224030037542,2.398285356695881,-2.607972465581979,-6.362665832290363,9.511889862327916,-5.882352941176472,7.91,추가매수 금지,risk,6,4
140410,메지온,KOSDAQ,20260701,-64.33,14.4,D,61,30,42,0,,-5.630981996726673,-10.704631751227492,-13.650621931260224,-3.666988543371522,6.710310965630106,-24.959083469721765,0.19,정찰병 1주,early,2,4
