strategy,definition,horizonDays,mode,trainTrades,testTrades,allTrades,trainAvgPct,testAvgPct,allAvgPct,generalizationGap,trainPF,testPF,testWinRatePct,testMedianPct,testExcessPct,testMfePct,testMaePct,testHitPlus3Pct,testHitPlus5Pct,testHitMinus3Pct,testHitMinus5Pct,testMddPct,overfitWarning,axis,baselineTestAvgPct,verdict
종합점수_40~49,"combinedScore between [40,49]",1,cooldown,6297,3407,9704,-0.04,0.07,0,-0.11,0.98,1.03,45.17,-0.58,0.05,5.71,-5,56.44,39.33,59.5,38.86,-100,false,combined,0,유망
종합점수_40~49,"combinedScore between [40,49]",3,cooldown,4606,2519,7125,0.36,0.87,0.54,-0.51,1.15,1.25,47.76,-0.4,0.18,8.94,-6.92,68.72,55.38,70.35,52.96,-100,false,combined,0.66,유망
종합점수_40~49,"combinedScore between [40,49]",5,cooldown,3737,2023,5760,0.95,1.93,1.3,-0.98,1.34,1.48,49.09,-0.23,0.43,11.72,-8.35,75.23,63.17,75.38,60.21,-100,false,combined,1.33,유망
종합점수_40~49,"combinedScore between [40,49]",10,cooldown,2630,1438,4068,2.22,3.09,2.53,-0.87,1.64,1.59,49.58,-0.2,0.23,16.89,-10.98,82.2,72.53,81.36,69.68,-100,false,combined,2.7,유망
종합점수_40~49,"combinedScore between [40,49]",20,cooldown,1757,932,2689,4.98,6.77,5.6,-1.79,2.23,2.04,52.36,1.09,0.92,25.91,-13.73,85.62,79.18,85.19,77.15,-100,false,combined,5.24,유망
종합점수_40~49,"combinedScore between [40,49]",60,cooldown,828,351,1179,16.02,29.52,20.04,-13.5,4.36,4.46,61.25,8.77,5.02,70.21,-17.87,95.73,93.45,88.32,80.06,-100,false,combined,39.14,역효과
종합점수_50~59,"combinedScore between [50,59]",1,cooldown,593,415,1008,0.25,-0.47,-0.05,0.72,1.13,0.86,42.65,-0.92,-0.73,6.91,-6.53,60.24,49.64,72.29,53.73,-99.53,true,combined,0,역효과
종합점수_50~59,"combinedScore between [50,59]",3,cooldown,547,373,920,1.08,0.5,0.85,0.58,1.37,1.11,46.92,-0.83,-0.98,10.48,-8.45,72.92,63.27,79.09,64.34,-98.56,false,combined,0.66,역효과
종합점수_50~59,"combinedScore between [50,59]",5,cooldown,510,350,860,1.96,1.66,1.84,0.3,1.58,1.34,50.29,0.13,-0.89,13.68,-10.2,78.57,71.14,82,70.57,-98.9,false,combined,1.33,유망
종합점수_50~59,"combinedScore between [50,59]",10,cooldown,459,306,765,3.97,3.91,3.95,0.06,2.02,1.64,51.63,0.68,-0.74,20.03,-12.59,83.01,78.43,85.95,76.14,-99.8,false,combined,2.7,유망
종합점수_50~59,"combinedScore between [50,59]",20,cooldown,404,253,657,7.58,8.85,8.07,-1.27,2.6,2.15,50.2,0,1.02,32.13,-15.51,85.77,83,90.51,82.21,-99.99,false,combined,5.24,유망
종합점수_50~59,"combinedScore between [50,59]",60,cooldown,316,155,471,20.42,21.32,20.72,-0.9,4.53,2.87,54.84,3.01,-3.31,64.36,-21.96,92.9,92.26,92.26,87.1,-100,false,combined,39.14,역효과
종합점수_60~69,"combinedScore between [60,69]",1,cooldown,386,364,750,-0.17,0.88,0.34,-1.05,0.93,1.26,46.15,-0.76,0.43,8.8,-6.55,64.56,53.85,73.63,53.3,-95.43,false,combined,0,유망
종합점수_60~69,"combinedScore between [60,69]",3,cooldown,357,329,686,0.92,1.31,1.1,-0.39,1.29,1.29,46.5,-1.03,0.04,12.16,-8.57,72.95,61.4,79.94,62.61,-98.25,false,combined,0.66,유망
종합점수_60~69,"combinedScore between [60,69]",5,cooldown,343,310,653,1.94,2.3,2.11,-0.36,1.53,1.44,47.1,-0.45,0.4,15.15,-10.03,78.39,68.39,81.61,67.1,-99.49,false,combined,1.33,유망
종합점수_60~69,"combinedScore between [60,69]",10,cooldown,304,273,577,4.15,3.82,3.99,0.33,1.94,1.59,47.99,-0.89,-0.07,20.85,-12.69,79.85,73.26,84.62,75.46,-99.7,false,combined,2.7,유망
종합점수_60~69,"combinedScore between [60,69]",20,cooldown,270,225,495,6,9.64,7.65,-3.64,2.06,2.24,52,0.62,2.25,32.89,-15.42,88,82.22,86.67,81.78,-100,false,combined,5.24,유망
종합점수_60~69,"combinedScore between [60,69]",60,cooldown,200,136,336,20.26,27.48,23.18,-7.22,4.56,3.33,59.56,12.46,1.84,72.65,-23.59,91.91,88.24,91.18,87.5,-100,false,combined,39.14,역효과
종합점수_70~79,"combinedScore between [70,79]",1,cooldown,84,66,150,0.84,-0.25,0.36,1.09,1.53,0.92,39.39,-1.86,-0.65,6.56,-6.13,60.61,48.48,78.79,51.52,-46.99,true,combined,0,역효과
종합점수_70~79,"combinedScore between [70,79]",3,cooldown,82,65,147,0.56,2.38,1.37,-1.82,1.19,1.62,50.77,0.04,0.36,11.6,-8.21,70.77,64.62,81.54,61.54,-43.04,false,combined,0.66,유망
종합점수_70~79,"combinedScore between [70,79]",5,cooldown,81,64,145,1.42,4.3,2.69,-2.88,1.38,1.97,50,-0.3,1.73,15.71,-9.91,76.56,70.31,85.94,70.31,-62.52,false,combined,1.33,유망
종합점수_70~79,"combinedScore between [70,79]",10,cooldown,79,61,140,1.34,7.27,3.92,-5.93,1.23,2.2,52.46,0.33,4.08,24.3,-12.35,80.33,75.41,86.89,75.41,-73.9,false,combined,2.7,유망
