view,key,horizon,n,avgPct,medianPct,winPct,pf,mfePct,maePct,excessPct,market,period
등급×보유,Leader_A,3,2657,0.85,-0.5,47.31,1.22,9.53,-7.43,0.47,,
등급×보유,Leader_A,5,1920,1.68,-0.46,48.28,1.38,12.25,-8.97,0.63,,
등급×보유,Leader_A,10,1197,3.85,-0.39,49.21,1.73,18.07,-11.31,1.35,,
등급×보유,Leader_A,20,739,7.71,1.5,52.91,2.2,27.81,-14.1,1.92,,
등급×시장,Leader_A,10,627,2.63,-0.71,47.53,1.55,14.6,-10.08,0.73,KOSPI,
등급×시장,Leader_A,10,570,5.19,0.76,51.05,1.9,21.88,-12.66,2.04,KOSDAQ,
등급×기간,Leader_A,10,327,1.35,-2.24,40.67,1.28,12.45,-9.28,-0.63,,2025 H2
등급×기간,Leader_A,10,857,5.62,1.69,54.03,2.12,20.6,-11.62,2.23,,2026 H1
등급×기간,Leader_A,10,47,-9.48,-6.06,25.53,0.19,7.55,-22.75,-2.14,,2026 H2
등급×보유,Leader_B,3,2891,0.18,-0.49,47.35,1.05,7.6,-6.47,-0.32,,
등급×보유,Leader_B,5,2181,1.05,-0.23,48.42,1.27,10.2,-7.73,-0.12,,
등급×보유,Leader_B,10,1430,2.87,-0.23,49.37,1.59,15.4,-10.28,-0.03,,
등급×보유,Leader_B,20,917,6.11,0.7,50.82,1.97,24.59,-13.24,0.06,,
등급×시장,Leader_B,10,747,1.72,-0.02,49.8,1.4,12.11,-9.1,-0.35,KOSPI,
등급×시장,Leader_B,10,683,4.12,-0.49,48.9,1.75,18.99,-11.56,0.31,KOSDAQ,
등급×기간,Leader_B,10,417,2,-0.23,49.16,1.58,10.8,-7.7,-0.78,,2025 H2
등급×기간,Leader_B,10,995,4.08,0.91,51.96,1.82,17.49,-10.62,0.58,,2026 H1
등급×기간,Leader_B,10,74,-7.41,-10.38,31.08,0.25,10.11,-18.22,-3.02,,2026 H2
등급×보유,Leader_C,3,2347,0.1,-0.57,46.61,1.03,7.46,-6.68,-0.32,,
등급×보유,Leader_C,5,1779,0.32,-0.36,47.78,1.08,9.58,-7.99,-0.66,,
등급×보유,Leader_C,10,1203,1.47,-0.43,48.79,1.28,14.3,-10.36,-1.14,,
등급×보유,Leader_C,20,781,3.91,-0.7,48.66,1.56,21.75,-13.66,-1.5,,
등급×시장,Leader_C,10,614,0.45,-0.77,47.39,1.1,11.24,-9.22,-1.18,KOSPI,
등급×시장,Leader_C,10,589,2.53,0.36,50.25,1.44,17.48,-11.55,-1.09,KOSDAQ,
등급×기간,Leader_C,10,270,4.08,1.33,57.41,2.4,12.68,-6.68,1.17,,2025 H2
등급×기간,Leader_C,10,853,1.22,-0.92,48.07,1.22,14.84,-10.64,-1.81,,2026 H1
등급×기간,Leader_C,10,123,-6.03,-6.91,28.46,0.35,11.29,-18.26,-2.14,,2026 H2
등급×보유,Leader_D,3,3679,0.17,-0.23,48.17,1.05,7.4,-6.41,-0.09,,
등급×보유,Leader_D,5,2493,0.65,-0.36,48.17,1.17,9.51,-7.95,0.02,,
등급×보유,Leader_D,10,1414,1,-0.66,48.02,1.2,13.06,-10.62,-0.38,,
등급×보유,Leader_D,20,759,1.68,-0.93,47.43,1.25,18.9,-13.83,-0.75,,
등급×시장,Leader_D,10,668,1.14,0.12,50.75,1.3,10.58,-8.76,0.02,KOSPI,
등급×시장,Leader_D,10,746,0.87,-1.52,45.58,1.14,15.28,-12.28,-0.75,KOSDAQ,
등급×기간,Leader_D,10,258,3.61,1.37,56.98,2.66,10.54,-5.8,0.05,,2025 H2
등급×기간,Leader_D,10,872,0.55,-1.45,45.3,1.1,13.44,-10.16,-1.17,,2026 H1
등급×기간,Leader_D,10,321,-3.75,-4.13,34.58,0.5,10.52,-16.78,1.53,,2026 H2
점수 threshold,Leader>=50,10,2392,2.72,-0.02,49.96,1.53,16.31,-10.32,0.03,,
점수 threshold,Leader>=60,10,2190,2.69,-0.51,48.17,1.51,16.23,-10.68,0.12,,
점수 threshold,Leader>=70,10,1901,3.03,-0.48,48.87,1.58,16.51,-10.74,0.45,,
점수 threshold,Leader>=80,10,1482,3.59,-0.54,48.72,1.69,17.16,-11.07,1.07,,
점수 threshold,Leader>=85,10,1197,3.85,-0.39,49.21,1.73,18.07,-11.31,1.35,,
점수 threshold,Leader>=90,10,831,4.22,-0.43,49.22,1.74,19.84,-12.12,2,,
