leader,drawdown,n,avgPct,medianPct,winPct,pf,mfePct,maePct,excessPct
Leader A,0~-5,870,3.48,-0.65,48.85,1.59,18.97,-11.63,1.36
Leader A,-5~-10,729,3.69,-0.34,49.52,1.71,17.69,-11.14,1.28
Leader A,-10~-15,377,4.8,0.72,50.4,1.84,20.78,-12.1,2.51
Leader A,-15~-20,113,-0.01,-4.09,44.25,1,18.95,-15.18,0.65
Leader A,-20~-30,64,6.37,2.42,57.81,2.26,21.67,-10.15,1.87
Leader A,-30~-40,26,1.8,0.3,53.85,1.44,15.58,-9.45,-3.76
Leader A,-40~-50,13,-4.77,-7.45,15.38,0.36,9.27,-10.78,-7.69
Leader A,<-50,3,-3.97,-3.73,0,0,10.58,-9.35,-5.37
Leader A/B,0~-5,989,3.36,-0.09,49.85,1.59,18.33,-11.3,1.19
Leader A/B,-5~-10,1051,3.58,-0.37,48.43,1.74,16.6,-10.36,1.03
Leader A/B,-10~-15,913,4.27,0.87,52.35,1.89,17.39,-10.7,1.32
Leader A/B,-15~-20,605,2.77,-0.83,47.6,1.5,17.3,-11.39,0.11
Leader A/B,-20~-30,369,2.25,-0.42,47.97,1.37,18.47,-12.05,-0.2
Leader A/B,-30~-40,107,2.06,0.02,50.47,1.36,17.08,-12.29,-1.32
Leader A/B,-40~-50,51,1.12,-3.56,37.25,1.23,14.53,-9.81,-3.04
Leader A/B,<-50,17,5.29,2.07,58.82,2.57,14.61,-8.12,-4.31
