key,n,avgPct,medianPct,winPct,pf,mfePct,maePct,excessPct
Leader A 전체,1197,3.85,-0.39,49.21,1.73,18.07,-11.31,1.35
Leader A + RS>=70,967,4,0.21,50.36,1.74,18.69,-11.68,1.6
Leader A + RS>=80,769,4.63,-0.05,49.8,1.84,20.05,-12.06,2.32
Leader A + RS>=90,467,5.09,0.85,51.82,1.82,22.19,-13.1,2.95
Leader A + RS<80,770,2.76,-0.47,48.7,1.54,16.11,-10.24,0.1
Leader A/B + RS>=80,899,4.37,-0.05,49.94,1.8,19.81,-11.73,1.99
Leader>=80 + RS>=80,826,4.64,-0.19,49.88,1.84,20.08,-11.89,2.18
Leader>=85 + RS>=80,769,4.63,-0.05,49.8,1.84,20.05,-12.06,2.32
Leader>=90 + RS>=90,425,5.47,1.14,52.47,1.89,22.92,-13.12,3.25
RS>=80 단독,1086,3.6,0.21,50.37,1.65,18.52,-11.76,1.51
RS>=90 단독,574,4.31,0.34,51.22,1.7,20.66,-13.03,2.29
