system,topN,cohorts,avg3,excess3,avg5,excess5,avg10,excess10,winPct10,worstCohort10,bestCohort10,medianCohort10,avg20,excess20,avgOverlapPct,turnoverPct
Leader,1,384,2.23,1.81,3.57,2.64,5.96,3.99,47.24,-54.54,118.36,-1.62,12.26,7.49,,
Leader,3,384,2.27,1.85,3.9,2.97,6.66,4.68,61.6,-54.99,82.82,4.56,12.96,8.2,,
Leader,5,384,2.05,1.63,3.48,2.55,6.51,4.54,62.71,-53.19,53.48,4.16,12.44,7.67,,
Leader,10,384,1.55,1.13,2.75,1.82,5.83,3.85,65.75,-42.12,41.67,5.22,12.31,7.54,,
Leader,20,384,1.03,0.61,1.95,1.02,4.29,2.31,61.6,-36.35,42.93,4.46,9.61,4.84,,
RS20,1,384,3.08,2.66,5.23,4.3,9.58,7.61,54.14,-55.88,154.83,2.66,17.67,12.9,,
RS20,3,384,2.24,1.82,3.95,3.02,7.53,5.55,62.15,-36.62,58.93,5.84,13.79,9.02,,
RS20,5,384,1.84,1.42,3.23,2.3,6.78,4.8,62.98,-33.55,51.22,4.85,14.3,9.53,,
RS20,10,384,1.36,0.94,2.48,1.55,5.42,3.44,62.43,-32.15,42.27,5.02,12.28,7.51,,
RS20,20,384,1.02,0.6,1.93,1,4.28,2.31,61.33,-25.28,33.97,4.14,9.85,5.08,,
Leader→RS(lexicographic),1,384,3.18,2.76,5.99,5.06,9.85,7.87,55.52,-55.88,154.83,2.86,18.47,13.7,,
Leader→RS(lexicographic),3,384,2.42,2,4.04,3.11,7.54,5.56,62.43,-54.99,74.38,5.78,14.15,9.39,,
Leader→RS(lexicographic),5,384,2.05,1.63,3.3,2.37,6.39,4.41,64.36,-45.68,61.07,4.22,14.71,9.95,,
Leader→RS(lexicographic),10,384,1.41,0.99,2.46,1.53,5.22,3.24,61.88,-42.12,42.27,4.4,12.06,7.29,,
Leader→RS(lexicographic),20,384,0.92,0.5,1.79,0.85,4.13,2.15,59.94,-36.25,36.74,4.23,9.36,4.6,,
종합타이밍,1,364,-0.36,-0.91,0.42,-0.71,2.03,-0.19,46.06,-47.15,100.1,-2.02,4.55,-0.82,7.69,92.31
종합타이밍,3,364,0.47,-0.09,1.38,0.25,2.69,0.48,53.35,-30.76,64.33,0.76,7.19,1.81,10.26,89.74
종합타이밍,5,364,0.54,-0.02,1.3,0.18,2.47,0.25,53.94,-29.07,64.33,1.04,6.54,1.16,10.77,89.23
종합타이밍,10,364,0.48,-0.07,1.14,0.01,2.31,0.09,54.81,-29.07,64.33,1.17,6.26,0.89,6.92,93.08
종합타이밍,20,364,0.43,-0.13,1.03,-0.1,2.25,0.03,54.52,-29.07,64.33,1.09,6.11,0.74,3.85,96.15
RankingV2,1,384,0.25,-0.17,0.74,-0.19,1.95,-0.03,53.31,-23.58,66.21,1.04,1.89,-2.88,,
RankingV2,3,384,0.32,-0.11,0.79,-0.14,1.52,-0.46,50,-20.29,42.35,0.13,1.73,-3.04,,
RankingV2,5,384,0.6,0.18,1.15,0.22,1.7,-0.28,52.49,-19.46,41.73,0.53,2.16,-2.6,,
RankingV2,10,384,0.43,0.01,0.92,-0.01,1.24,-0.74,49.72,-19.31,33.85,-0.03,2.08,-2.69,,
RankingV2,20,384,0.18,-0.24,0.55,-0.38,1.09,-0.89,48.34,-16.78,33.27,-0.2,2.6,-2.17,,
Scout,1,384,0.12,-0.3,-0.32,-1.25,-0.69,-2.67,44.2,-47.15,59.58,-1.37,-0.08,-4.85,,
Scout,3,384,-0.24,-0.66,-0.37,-1.3,-0.45,-2.43,46.13,-21.99,46.35,-0.54,-0.65,-5.41,,
Scout,5,384,0.02,-0.4,0.13,-0.8,0.23,-1.75,46.69,-21.15,44.4,-0.54,0.47,-4.3,,
Scout,10,384,0.29,-0.13,0.55,-0.38,1.16,-0.82,50.55,-19.47,35.35,0.04,1.87,-2.89,,
Scout,20,384,0.22,-0.2,0.63,-0.3,1.16,-0.82,51.38,-17.37,40.16,0.14,2.3,-2.47,,
