strategy,definition,horizonDays,mode,trainTrades,testTrades,allTrades,trainAvgPct,testAvgPct,allAvgPct,generalizationGap,trainPF,testPF,testWinRatePct,testMedianPct,testExcessPct,testMfePct,testMaePct,testHitPlus3Pct,testHitPlus5Pct,testHitMinus3Pct,testHitMinus5Pct,testMddPct,overfitWarning,axis,rankSystem,topN,baselineTestAvgPct,verdict
종합타이밍_TOP3,ALL,5,cohort,418,139,557,1.34,3.25,1.82,-1.91,1.5,1.92,58.27,1.92,-0.66,11.63,-7.68,77.7,62.59,68.35,48.92,-85.11,false,topN,종합타이밍,3,2.56,유망
종합타이밍_TOP3,ALL,10,cohort,418,139,557,2.19,5.71,3.07,-3.52,1.6,2.29,56.83,2.29,-1.21,18.03,-9.65,84.89,73.38,74.1,58.27,-94.33,false,topN,종합타이밍,3,5.57,유망
종합타이밍_TOP5,ALL,5,cohort,418,139,557,1.34,3.25,1.82,-1.91,1.5,1.92,58.27,1.92,-0.66,11.63,-7.68,77.7,62.59,68.35,48.92,-85.11,false,topN,종합타이밍,5,2.56,유망
종합타이밍_TOP5,ALL,10,cohort,418,139,557,2.19,5.71,3.07,-3.52,1.6,2.29,56.83,2.29,-1.21,18.03,-9.65,84.89,73.38,74.1,58.27,-94.33,false,topN,종합타이밍,5,5.57,유망
종합타이밍_TOP10,ALL,5,cohort,418,139,557,1.34,3.25,1.82,-1.91,1.5,1.92,58.27,1.92,-0.66,11.63,-7.68,77.7,62.59,68.35,48.92,-85.11,false,topN,종합타이밍,10,2.56,유망
종합타이밍_TOP10,ALL,10,cohort,418,139,557,2.19,5.71,3.07,-3.52,1.6,2.29,56.83,2.29,-1.21,18.03,-9.65,84.89,73.38,74.1,58.27,-94.33,false,topN,종합타이밍,10,5.57,유망
종합타이밍_TOP20,ALL,5,cohort,418,139,557,1.34,3.25,1.82,-1.91,1.5,1.92,58.27,1.92,-0.66,11.63,-7.68,77.7,62.59,68.35,48.92,-85.11,false,topN,종합타이밍,20,2.56,유망
종합타이밍_TOP20,ALL,10,cohort,418,139,557,2.19,5.71,3.07,-3.52,1.6,2.29,56.83,2.29,-1.21,18.03,-9.65,84.89,73.38,74.1,58.27,-94.33,false,topN,종합타이밍,20,5.57,유망
RankingV2_TOP3,ALL,5,cohort,1716,1116,2832,0.68,2.15,1.26,-1.47,1.26,1.54,52.69,0.72,-0.03,11.25,-8.37,76.25,63.26,72.67,56.9,-100,false,topN,RankingV2,3,2.56,역효과
RankingV2_TOP3,ALL,10,cohort,1716,1086,2802,1.93,4.71,3.01,-2.78,1.6,1.92,53.68,1.15,-0.08,17.59,-11.07,83.43,74.22,78.08,65.19,-100,false,topN,RankingV2,3,5.57,역효과
RankingV2_TOP5,ALL,5,cohort,2860,1860,4720,0.98,2.18,1.45,-1.2,1.37,1.52,53.55,1.02,0,11.65,-8.51,77.37,64.52,72.47,57.42,-100,false,topN,RankingV2,5,2.56,역효과
RankingV2_TOP5,ALL,10,cohort,2860,1810,4670,2.22,4.79,3.21,-2.57,1.68,1.92,54.42,1.52,0,17.93,-11.13,83.98,74.7,77.68,65.03,-100,false,topN,RankingV2,5,5.57,역효과
RankingV2_TOP10,ALL,5,cohort,2860,1860,4720,0.98,2.18,1.45,-1.2,1.37,1.52,53.55,1.02,0,11.65,-8.51,77.37,64.52,72.47,57.42,-100,false,topN,RankingV2,10,2.56,역효과
RankingV2_TOP10,ALL,10,cohort,2860,1810,4670,2.22,4.79,3.21,-2.57,1.68,1.92,54.42,1.52,0,17.93,-11.13,83.98,74.7,77.68,65.03,-100,false,topN,RankingV2,10,5.57,역효과
RankingV2_TOP20,ALL,5,cohort,2860,1860,4720,0.98,2.18,1.45,-1.2,1.37,1.52,53.55,1.02,0,11.65,-8.51,77.37,64.52,72.47,57.42,-100,false,topN,RankingV2,20,2.56,역효과
RankingV2_TOP20,ALL,10,cohort,2860,1810,4670,2.22,4.79,3.21,-2.57,1.68,1.92,54.42,1.52,0,17.93,-11.13,83.98,74.7,77.68,65.03,-100,false,topN,RankingV2,20,5.57,역효과
Leader_TOP3,ALL,5,cohort,1716,1116,2832,1.33,2.56,1.81,-1.23,1.5,1.56,52.96,0.88,0.38,13,-9.19,79.66,67.38,74.1,60.13,-100,false,topN,Leader,3,2.56,유망
Leader_TOP3,ALL,10,cohort,1716,1086,2802,2.73,5.6,3.84,-2.87,1.81,1.98,54.79,1.82,0.81,20.03,-11.88,85.73,76.34,78.64,66.39,-100,false,topN,Leader,3,5.57,유망
