key,n,avgPct,medianPct,winPct,pf,mfePct,maePct,excessPct
RankingV2 TOP10 단독,790,1.64,-0.37,48.1,1.36,13.78,-9.79,-0.38
RankingV2 TOP10 + Leader A,83,5.26,0.25,51.81,2.44,17.67,-9.76,0.67
RankingV2 T2 단독,262,2.41,1.08,53.82,1.65,12.96,-9.04,0.56
RankingV2 T2 + Leader A/B,12,2.98,3.2,58.33,2.06,9.95,-6.29,-4.47
Scout TOP10 단독,464,1.09,-0.59,48.71,1.26,11.8,-8.76,-0.77
Scout TOP10 + Leader A,22,-0.64,-3.73,22.73,0.85,12.64,-8.18,-4.16
Scout ready 단독,841,1.62,0.05,50.18,1.31,14.89,-11.21,-0.24
Scout ready + Leader A,85,5.16,0.35,54.12,2.22,20.24,-9.16,0.58
Scout stopped 단독,1281,0.45,-0.9,46.76,1.08,12.89,-11.3,-1.15
Scout stopped + Leader A,9,-0.58,-2.48,33.33,0.84,9.76,-10.78,-3.13
Stab>=80 + Leader A,1083,4.2,0.14,50.05,1.78,18.91,-11.32,1.63
DeepRecovery 단독,409,0.95,-0.47,48.17,1.18,14.26,-11.81,-0.6
DeepRecovery + Leader A/B,88,3.09,-1.08,48.86,1.73,16.15,-9.96,-1.34
