sweep,cut,direction,strategy,horizonDays,trainTrades,testTrades,trainAvgPct,testAvgPct,testPF,neighbourTestAvg,verdict
combinedScore|gte,50,gte,종합점수_gte50,10,700,471,3.72,3.63,1.58,2.77 / 3.93,견고 가능성
combinedScore|gte,60,gte,종합점수_gte60,10,359,299,4,3.93,1.6,3.63 / 6.5,견고 가능성
leaderScore|gte,60,gte,Leader점수_gte60,10,2772,2127,2.63,2.57,1.49,2.42 / 3.11,견고 가능성
leaderScore|gte,70,gte,Leader점수_gte70,10,2307,1840,2.73,3.11,1.59,2.57 / 3.68,견고 가능성
leaderScore|gte,80,gte,Leader점수_gte80,10,1738,1436,2.93,3.68,1.71,3.11 / 3.88,견고 가능성
leaderScore|gte,85,gte,Leader점수_gte85,10,1417,1163,3.01,3.88,1.74,3.68 / 4.31,견고 가능성
rs20|gte,60,gte,RS20_gte60,10,2941,1856,2.31,2.55,1.46,2.41 / 2.57,견고 가능성
rs20|gte,70,gte,RS20_gte70,10,2349,1491,2.39,2.57,1.46,2.55 / 3.65,견고 가능성
rs20|gte,80,gte,RS20_gte80,10,1676,1065,2.53,3.65,1.66,2.57 / 4.29,견고 가능성
drawdownFromHighPct|lte,-30,lte,낙폭_lte-30,10,2514,1245,2.19,0.26,1.05,1.36 / 0.95,견고 가능성
drawdownFromHighPct|lte,-15,lte,낙폭_lte-15,10,3839,2392,2.23,1.29,1.25,0.95 / 1.65,견고 가능성
scoutRiskScore|lte,39,lte,Risk_lte39,10,4565,2506,2.15,2.52,1.5,3.62 / 2.3,견고 가능성
scoutRiskScore|lte,50,lte,Risk_lte50,10,5093,3235,2.23,2.3,1.47,2.52 / 2.69,견고 가능성
scoutStabilizeScore|gte,65,gte,Stab_gte65,10,3817,2369,2.33,2.51,1.47,1.63 / 2.99,견고 가능성
scoutStabilizeScore|gte,80,gte,Stab_gte80,10,2909,1836,2.45,2.99,1.56,2.51 / 3.77,견고 가능성
liquidityScore|gte,50,gte,거래강도_gte50,10,747,621,3.67,1.92,1.25,2.24 / 2.89,견고 가능성
liquidityScore|gte,60,gte,거래강도_gte60,10,440,388,4.24,2.89,1.4,1.92 / 2.69,견고 가능성
liquidityScore|gte,70,gte,거래강도_gte70,10,241,238,5.2,2.69,1.37,2.89 / 3.39,견고 가능성
liquidityScore|gte,80,gte,거래강도_gte80,10,90,120,6.18,3.39,1.53,2.69 / 3.79,견고 가능성
