strategy,definition,horizonDays,mode,trainTrades,testTrades,allTrades,trainAvgPct,testAvgPct,allAvgPct,generalizationGap,trainPF,testPF,testWinRatePct,testMedianPct,testExcessPct,testMfePct,testMaePct,testHitPlus3Pct,testHitPlus5Pct,testHitMinus3Pct,testHitMinus5Pct,testMddPct,overfitWarning,axis,baselineTestAvgPct,verdict
COMBINED_TOP,"combinedRank between [1,3]",1,cooldown,1496,938,2434,-0.1,-0.02,-0.07,-0.08,0.95,0.99,44.56,-0.6,-0.02,5.66,-5.11,56.5,40.51,62.05,40.62,-99.49,false,preset,0,역효과
COMBINED_TOP,"combinedRank between [1,3]",3,cooldown,1323,815,2138,0.22,0.23,0.22,-0.01,1.08,1.06,46.13,-0.82,-0.12,8.34,-7.13,67.85,53.87,73.99,54.97,-99.96,false,preset,0.66,역효과
COMBINED_TOP,"combinedRank between [1,3]",5,cooldown,1186,729,1915,1.06,1.35,1.17,-0.29,1.36,1.32,47.6,-0.31,0.33,11.11,-8.61,75.31,62.83,78.05,62.55,-99.96,false,preset,1.33,유망
COMBINED_TOP,"combinedRank between [1,3]",10,cooldown,986,602,1588,2.19,2.54,2.33,-0.35,1.6,1.46,47.01,-1.15,0.6,16.63,-11,80.07,70.6,85.71,73.26,-100,false,preset,2.7,역효과
COMBINED_TOP,"combinedRank between [1,3]",20,cooldown,796,464,1260,4.83,6.82,5.56,-1.99,2.07,2.09,51.94,1.04,1.22,26.08,-13.63,87.28,80.6,89.44,79.09,-100,false,preset,5.24,유망
COMBINED_TOP,"combinedRank between [1,3]",60,cooldown,525,236,761,15.61,27.86,19.41,-12.25,3.86,3.77,57.63,10.37,4.03,68.23,-19.64,95.34,91.1,90.25,83.9,-100,false,preset,39.14,역효과
COMBINED_SPLIT,combinedScore gte 60,1,cooldown,469,422,891,0.04,0.8,0.4,-0.76,1.02,1.24,45.02,-0.98,0.38,8.49,-6.43,63.27,52.84,74.17,52.61,-95.14,false,preset,0,유망
COMBINED_SPLIT,combinedScore gte 60,3,cooldown,428,375,803,0.86,1.35,1.09,-0.49,1.28,1.3,47.2,-0.95,0.02,12.02,-8.5,71.73,61.33,79.2,61.6,-98.8,false,preset,0.66,유망
COMBINED_SPLIT,combinedScore gte 60,5,cooldown,409,343,752,1.79,2.28,2.01,-0.49,1.49,1.44,48.1,-0.23,0.3,15.09,-10.03,77.26,68.51,81.34,66.47,-99.77,false,preset,1.33,유망
COMBINED_SPLIT,combinedScore gte 60,10,cooldown,359,299,658,4,3.93,3.97,0.07,1.88,1.6,47.49,-0.92,0.28,20.72,-12.69,79.26,73.24,84.62,74.58,-99.93,false,preset,2.7,유망
COMBINED_SPLIT,combinedScore gte 60,20,cooldown,311,246,557,5.6,8.19,6.75,-2.59,1.93,2.02,51.22,0.51,1.07,31.61,-15.42,86.99,80.89,86.99,80.89,-100,false,preset,5.24,유망
COMBINED_SPLIT,combinedScore gte 60,60,cooldown,227,142,369,21.22,27.08,23.48,-5.86,4.94,3.29,58.45,12.92,2.01,72.23,-23.92,92.96,88.73,90.14,86.62,-100,false,preset,39.14,역효과
TIMING_TOP10,"combinedRank between [1,10]",1,cooldown,4201,2195,6396,-0.07,0.02,-0.04,-0.09,0.96,1.01,44.51,-0.69,0.05,5.33,-4.75,53.12,36.77,58.86,36.77,-99.99,false,preset,0,유망
TIMING_TOP10,"combinedRank between [1,10]",3,cooldown,3252,1744,4996,0.45,0.71,0.54,-0.26,1.19,1.21,47.82,-0.34,0.01,8.3,-6.55,66.46,52.81,69.72,50.57,-100,false,preset,0.66,유망
TIMING_TOP10,"combinedRank between [1,10]",5,cooldown,2702,1473,4175,1.08,1.66,1.29,-0.58,1.39,1.44,49.15,-0.14,0.16,10.77,-8,73.46,61.17,75.49,58.11,-100,false,preset,1.33,유망
TIMING_TOP10,"combinedRank between [1,10]",10,cooldown,2000,1120,3120,2.18,2.71,2.37,-0.53,1.61,1.52,49.46,-0.32,-0.05,16.18,-10.53,80.45,70.63,81.16,69.29,-100,false,preset,2.7,유망
TIMING_TOP10,"combinedRank between [1,10]",20,cooldown,1407,768,2175,5.22,6.45,5.66,-1.23,2.26,2.03,52.6,1.3,0.13,25.17,-13.22,85.29,78.78,84.9,74.61,-100,false,preset,5.24,유망
TIMING_TOP10,"combinedRank between [1,10]",60,cooldown,739,336,1075,16.37,23.1,18.48,-6.73,4.43,3.38,57.74,7.14,-0.57,63.79,-18.69,93.75,90.48,88.39,78.57,-100,false,preset,39.14,역효과
LEADER_A,leaderGrade in [A],1,cooldown,6009,4760,10769,0.25,0.05,0.16,0.2,1.14,1.02,44.81,-0.64,0.24,6.13,-5.39,57.73,42.06,62.23,42.25,-100,false,preset,0,유망
LEADER_A,leaderGrade in [A],3,cooldown,3271,2640,5911,0.86,0.79,0.83,0.07,1.36,1.21,47.05,-0.5,0.44,9.48,-7.45,69.28,56.44,74.02,57.5,-100,false,preset,0.66,유망
LEADER_A,leaderGrade in [A],5,cooldown,2328,1882,4210,1.43,1.8,1.59,-0.37,1.49,1.41,48.83,-0.33,0.66,12.36,-8.94,75.35,64.03,78.75,63.07,-100,false,preset,1.33,유망
LEADER_A,leaderGrade in [A],10,cooldown,1417,1163,2580,3.01,3.88,3.4,-0.87,1.85,1.74,49.18,-0.42,1.4,18.28,-11.26,82.37,72.06,81.77,71.63,-100,false,preset,2.7,유망
LEADER_A,leaderGrade in [A],20,cooldown,873,681,1554,5.69,8.98,7.13,-3.29,2.4,2.48,54.48,2.49,2.54,29.24,-13.71,88.99,81.94,86.2,76.95,-100,false,preset,5.24,유망
LEADER_A,leaderGrade in [A],60,cooldown,437,287,724,19.92,24.44,21.71,-4.52,5.77,3.19,57.84,9.88,4.03,65.85,-21.13,95.47,91.29,91.29,82.58,-100,false,preset,39.14,역효과
LEADER_AB,"leaderGrade in [A,B]",1,cooldown,10720,8865,19585,0.15,-0.04,0.07,0.19,1.09,0.98,44.64,-0.6,0.11,5.52,-4.91,55.19,37.36,58.44,37.17,-100,true,preset,0,역효과
LEADER_AB,"leaderGrade in [A,B]",3,cooldown,5646,4638,10284,0.71,0.52,0.62,0.19,1.31,1.14,46.72,-0.72,0.14,8.5,-6.92,67.85,52.31,70.5,52.74,-100,false,preset,0.66,역효과
LEADER_AB,"leaderGrade in [A,B]",5,cooldown,3919,3182,7101,1.34,1.5,1.41,-0.16,1.49,1.37,48.52,-0.23,0.43,11.12,-8.23,74.32,60.59,74.2,58.3,-100,false,preset,1.33,유망
LEADER_AB,"leaderGrade in [A,B]",10,cooldown,2307,1840,4147,2.73,3.11,2.9,-0.38,1.83,1.59,49.78,-0.12,0.5,16.5,-10.84,81.36,70.92,80.82,68.7,-100,false,preset,2.7,유망
LEADER_AB,"leaderGrade in [A,B]",20,cooldown,1357,1005,2362,5.38,7.79,6.4,-2.41,2.34,2.24,52.54,1.1,1.47,26.62,-13.46,87.76,80.4,85.07,75.52,-100,false,preset,5.24,유망
LEADER_AB,"leaderGrade in [A,B]",60,cooldown,599,337,936,19.43,23.87,21.03,-4.44,5.62,3.53,61.13,8.1,1.37,64.4,-18.48,95.25,92.88,90.21,83.38,-100,false,preset,39.14,역효과
LEADER_A_RS80,leaderGrade in [A] AND rs20 gte 80,1,cooldown,3430,2794,6224,0.35,0.12,0.25,0.23,1.18,1.04,45.2,-0.78,0.38,6.66,-5.95,60.84,44.6,66.64,47.75,-100,false,preset,0,유망
LEADER_A_RS80,leaderGrade in [A] AND rs20 gte 80,3,cooldown,1946,1587,3533,1.16,1.07,1.12,0.09,1.44,1.27,47.51,-0.51,0.8,10.4,-8.01,72.78,58.66,76.43,60.68,-99.99,false,preset,0.66,유망
LEADER_A_RS80,leaderGrade in [A] AND rs20 gte 80,5,cooldown,1429,1167,2596,1.82,2.16,1.97,-0.34,1.58,1.46,49.53,-0.23,1.22,13.76,-9.55,77.46,66.5,80.46,66.67,-100,false,preset,1.33,유망
LEADER_A_RS80,leaderGrade in [A] AND rs20 gte 80,10,cooldown,930,748,1678,3.25,4.68,3.88,-1.43,1.8,1.84,49.87,-0.05,2.34,20.23,-12.07,84.63,75.8,83.42,72.86,-100,false,preset,2.7,유망
