sweep,cut,direction,strategy,horizonDays,trainTrades,testTrades,trainAvgPct,testAvgPct,testPF,neighbourTestAvg,verdict
combinedScore|gte,40,gte,종합점수_gte40,10,2735,1532,2.19,2.77,1.51,3.63,유망
combinedScore|gte,50,gte,종합점수_gte50,10,700,471,3.72,3.63,1.58,2.77 / 3.93,견고 가능성
combinedScore|gte,60,gte,종합점수_gte60,10,359,299,4,3.93,1.6,3.63 / 6.5,견고 가능성
combinedScore|gte,70,gte,종합점수_gte70,10,84,65,1.68,6.5,2.03,3.93 / -5.21,유망
combinedScore|gte,80,gte,종합점수_gte80,10,6,4,5.59,-5.21,0.46,6.5,표본부족
leaderScore|gte,50,gte,Leader점수_gte50,10,3148,2327,2.59,2.42,1.46,2.57,유망
leaderScore|gte,60,gte,Leader점수_gte60,10,2772,2127,2.63,2.57,1.49,2.42 / 3.11,견고 가능성
leaderScore|gte,70,gte,Leader점수_gte70,10,2307,1840,2.73,3.11,1.59,2.57 / 3.68,견고 가능성
leaderScore|gte,80,gte,Leader점수_gte80,10,1738,1436,2.93,3.68,1.71,3.11 / 3.88,견고 가능성
leaderScore|gte,85,gte,Leader점수_gte85,10,1417,1163,3.01,3.88,1.74,3.68 / 4.31,견고 가능성
leaderScore|gte,90,gte,Leader점수_gte90,10,1047,803,3.17,4.31,1.75,3.88,유망
rs20|gte,50,gte,RS20_gte50,10,3465,2194,2.33,2.41,1.46,2.55,유망
rs20|gte,60,gte,RS20_gte60,10,2941,1856,2.31,2.55,1.46,2.41 / 2.57,견고 가능성
rs20|gte,70,gte,RS20_gte70,10,2349,1491,2.39,2.57,1.46,2.55 / 3.65,견고 가능성
rs20|gte,80,gte,RS20_gte80,10,1676,1065,2.53,3.65,1.66,2.57 / 4.29,견고 가능성
rs20|gte,90,gte,RS20_gte90,10,948,563,2.48,4.29,1.68,3.65,유망
drawdownFromHighPct|lte,-60,lte,낙폭_lte-60,10,496,129,3.19,7.56,2.43,3,유망
drawdownFromHighPct|lte,-50,lte,낙폭_lte-50,10,1066,345,3.09,3,1.51,7.56 / 1.36,유망
drawdownFromHighPct|lte,-40,lte,낙폭_lte-40,10,1746,691,2.57,1.36,1.24,3 / 0.26,유망
drawdownFromHighPct|lte,-30,lte,낙폭_lte-30,10,2514,1245,2.19,0.26,1.05,1.36 / 0.95,견고 가능성
drawdownFromHighPct|lte,-20,lte,낙폭_lte-20,10,3349,2011,2.15,0.95,1.18,0.26 / 1.29,유망
drawdownFromHighPct|lte,-15,lte,낙폭_lte-15,10,3839,2392,2.23,1.29,1.25,0.95 / 1.65,견고 가능성
drawdownFromHighPct|lte,-10,lte,낙폭_lte-10,10,4347,2780,2.21,1.65,1.32,1.29,유망
scoutRiskScore|lte,24,lte,Risk_lte24,10,3185,1221,2.09,3.62,1.95,2.52,유망
scoutRiskScore|lte,39,lte,Risk_lte39,10,4565,2506,2.15,2.52,1.5,3.62 / 2.3,견고 가능성
scoutRiskScore|lte,50,lte,Risk_lte50,10,5093,3235,2.23,2.3,1.47,2.52 / 2.69,견고 가능성
scoutRiskScore|lte,64,lte,Risk_lte64,10,5124,3384,2.2,2.69,1.57,2.3,유망
scoutStabilizeScore|gte,45,gte,Stab_gte45,10,4788,2994,2.21,1.63,1.31,2.51,유망
scoutStabilizeScore|gte,65,gte,Stab_gte65,10,3817,2369,2.33,2.51,1.47,1.63 / 2.99,견고 가능성
scoutStabilizeScore|gte,80,gte,Stab_gte80,10,2909,1836,2.45,2.99,1.56,2.51 / 3.77,견고 가능성
scoutStabilizeScore|gte,90,gte,Stab_gte90,10,2068,1234,2.26,3.77,1.7,2.99,유망
liquidityScore|gte,40,gte,거래강도_gte40,10,1148,897,3.29,2.24,1.33,1.92,유망
liquidityScore|gte,50,gte,거래강도_gte50,10,747,621,3.67,1.92,1.25,2.24 / 2.89,견고 가능성
liquidityScore|gte,60,gte,거래강도_gte60,10,440,388,4.24,2.89,1.4,1.92 / 2.69,견고 가능성
liquidityScore|gte,70,gte,거래강도_gte70,10,241,238,5.2,2.69,1.37,2.89 / 3.39,견고 가능성
liquidityScore|gte,80,gte,거래강도_gte80,10,90,120,6.18,3.39,1.53,2.69 / 3.79,견고 가능성
liquidityScore|gte,90,gte,거래강도_gte90,10,6,33,1.68,3.79,1.54,3.39,표본부족
