strategy,Fold1_n,Fold1_excess,Fold2_n,Fold2_excess,Fold3_n,Fold3_excess,foldsPositive,foldsTotal,meanFoldExcessPct,worstFoldExcessPct,stability
대조군(전체),1782,0,1790,-0.01,1600,0,0,3,0,-0.01,unstable
Leader A,689,-0.06,782,0.82,429,2.33,2,3,1.03,-0.06,mixed
Leader TOP3,113,0.67,112,4.64,114,3.34,3,3,2.88,0.67,robust candidate
Leader TOP10,304,0.87,331,0.74,271,4.2,3,3,1.94,0.74,robust candidate
RS80+,567,0.5,574,1.15,529,1.98,3,3,1.21,0.5,robust candidate
RS90+,332,-0.15,299,2.29,283,2.67,2,3,1.6,-0.15,mixed
Leader A + RS80,409,-0.06,467,0.69,306,4.84,2,3,1.82,-0.06,mixed
Leader A + RS90,264,-0.4,271,1.91,202,4.53,2,3,2.01,-0.4,mixed
Leader A + Risk<=24,558,-0.64,452,-0.1,197,3.65,1,3,0.97,-0.64,unstable
Leader A + Stab>=80,622,-0.08,695,0.99,389,2.98,2,3,1.3,-0.08,mixed
Leader A + Risk<=24 + Stab>=80,501,-0.87,395,-0.07,181,4.24,1,3,1.1,-0.87,unstable
종합타이밍 TOP10,721,0,675,-0.29,459,0.41,1,3,0.04,-0.29,unstable
RankingV2 TOP10,316,0.31,398,-0.34,400,-0.27,1,3,-0.1,-0.34,unstable
Scout TOP10,250,1.97,237,-0.79,232,-0.79,1,3,0.13,-0.79,unstable
낙폭 <-60,95,3.27,17,-1.05,112,4.61,2,3,2.28,-1.05,mixed
낙폭 <-60 + Leader A/B,11,6.65,0,,0,,1,1,6.65,6.65,robust candidate
